,user_name,Date,Stars,elite,Updated,Text,Cool,Funny,Useful,check_ins,Photos,prev_text,prev_stars,prev_date,prev_useful,prev_funny,prev_cool,user_friends,user_link,user_location,user_photos,user_reviews,compound sentiment,negative sentiment,neutral sentiment,positive sentiment
23,Micah P.,7/27/2018,4,0,0,"A delicious French bakery in the heart of Old Town! They have all the classic baked goods, plus a delicious, if limited, selection of sandwiches. A great place to grab a coffee and a croissant! Nice staff and decent prices.",0,0,0,0,[],,,,,,,6,https://www.yelp.com/user_details?userid=SEtCTEvjHUXgoZc1PJY9QQ,"Chicago, IL",10,6,0.9323,0.041,0.641,0.318
24,Adam S.,7/25/2018,4,0,0,"I ate here twice.  The macaroons, at least the lemon, are worth driving for.  The breads were good but I prefer the more chewy baguette (the French have both the light crispy more more American like bread and the more chewy and slightly more salty baguettes).  I prefer the latter.  Overall probably 4.5 stars.",0,0,0,1,[],,,,,,,8,https://www.yelp.com/user_details?userid=mf8Bamn7cHsPNLX6tqimbw,"Queen Creek, AZ",133,119,0.7553,0.0,0.865,0.135
25,Jamey M.,7/23/2018,5,0,0,"We loved it here! The croissant and beignets were good and not too pricey. There are many other options, both savory and sweet.",0,0,0,0,['https://s3-media1.fl.yelpcdn.com/bphoto/yfgaOoSqnpQMYgJ2nON4UA/348s.jpg'],,,,,,,101,https://www.yelp.com/user_details?userid=cdwnUbbUTWkCjAL95lJz_g,"Streeterville, Chicago, IL",1,1,0.8777,0.0,0.665,0.335
26,Rhona B.,7/12/2018,5,0,0,"If there's anything for which I have a weakness, pastries are on the top three list.  Thanks to other Yelpers, this place comes with very high reviews, and I was on a quest to find it.  The storefront is very narrow, and despite what GPS was telling me, I must've walked by this place at least a half-dozen times trying to find it, and felt really stupid when I finally did--it had a cute little awning inviting me in and made it more obvious.  In my defense, there is a lot of construction going on next to and in front of the store, so it made it a little tricky--that's my story; I'm sticking to it!First thing you notice when you walk in is how warm and inviting the place feels--a warm greeting from a staff member, the charming cafe feel that just beckons you to sit and stay a while and enjoy a croissant and coffee while you read the paper (remember those days?) and hopefully not a cellular device.  I took a few moments to peruse the display.  I think they noticed my drooling, because several workers behind the counter were helpful to offer service.  I chose an almond croissant, which was super-flaky, light, airy, and not just ""good,"" but ""OMG-good!""  I had to save my two little macarons for later, but trust me--I was dying to get into them.  I opted for a lychee and--?? (one other fruit that I can't remember), and a cassis. They were so good that I think I'm going back.  Okay, I'm lying.  I'm DEFINITELY coming back!  Where can I buy bigger pants?",4,1,5,0,['https://s3-media3.fl.yelpcdn.com/bphoto/7A0c-CEByROJxanx7JHChw/348s.jpg'],,,,,,,62,https://www.yelp.com/user_details?userid=kn3ksgfWZM1hKGHc1pNhCQ,"Saint Augustine, FL",156,133,0.9827,0.032,0.809,0.159
27,Craig S.,6/30/2018,5,0,0,"Loved it.  Had an apple danish, almond croissant and a delicious cup of coffee.  The interior, the servers all added to the French cafe feeling.  Would absolutely stop here again.",0,0,4,0,[],,,,,,,0,https://www.yelp.com/user_details?userid=tOtrGLaKISlhws_VGuQuXg,"Seattle, WA",2,26,0.7655,0.068,0.683,0.249
28,Linda M.,6/29/2018,5,0,0,"I admire very much the French cuisine, so this place was a real breakthrough for me because it brought me a lot of joy. I really love French pancakes and croissants, these desserts take a special place in my heart it might seem funny but it's true. If your dream is to visit France then this place is exactly what you need, absolutely all desserts can virtually teleport you in France through amazing taste and aroma.I also dare to advise this place for those who want to make a romantic dinner. I'm sure the loved one will be pleasantly surprised.Best wishes!",0,0,1,0,[],,,,,,,5,https://www.yelp.com/user_details?userid=HsGI8WNC4HWwB7D92Jxhdg,Canada,0,51,0.9906,0.0,0.658,0.342
29,Tim W.,6/12/2018,5,1,0,"Can't recommend this place enough!! We had the meat crepe and a couple iced coffees and it was perfect! The crepe was delicious and a good sized portion. We haven't even thought about it yet, but I'll bet we'll be back tomorrow based on how good it was today! Do yourself a favor and go!",0,0,0,0,['https://s3-media2.fl.yelpcdn.com/bphoto/jpSU2si9S8bKcz0GJeMz_Q/348s.jpg'],,,,,,,0,https://www.yelp.com/user_details?userid=fI0MEgtKzERtrObCaqbDXA,"Central Beaverton, Beaverton, OR",83,70,0.9282,0.025,0.733,0.242
30,Laura C.,6/8/2018,3,0,0,"I would have given them 5 starts for their superior, TrueType French pastries but their service is questionable.  I walked into the shop wearing my painting clothes.  Another woman walked in behind, with her exercise outfit.  The young cashier acknowledged me, and I walked over to the glass cases.  The cashier then acknowledged the other customer behind me and server her.  I stood and waited.  Then, after the cashier was finished, she did nothing l, just stood at the register.  I then asked twice if I could be served, to which she finally responded.  By the way, the cashier didn't apologize.",0,0,0,0,[],,,,,,,13,https://www.yelp.com/user_details?userid=h9RjyC8HSyVaiyTRw03oTg,"Chicago, IL",0,41,-0.2486,0.044,0.933,0.023
31,Isabel L.,6/7/2018,5,0,0,Cute little bakery. Had macaroons and a cappuccino here. Same price as chain coffee places but I'd rather come here for the aesthetic-- and theres a perfect spot by the window to people watch. Wasn't crowded at all.,0,0,0,1,[],,,,,,,0,https://www.yelp.com/user_details?userid=efzRCicDx-jYxtaCI_AGbA,"Lincoln Park, Chicago, IL",6,5,0.7935,0.0,0.828,0.172
32,Amy C.,6/3/2018,4,0,0,We had the ham and cheese croissant and wanted a crepe too but we were too full!!!!  Croissant was flaky and buttery and the ham/cheese balance was just right.  We liked this so much that we went back but they closed at 6PM.  So sad...,0,0,0,0,[],,,,,,,12,https://www.yelp.com/user_details?userid=FrvbWjNjQT91cQbD0mTV_Q,"Mason, OH",0,225,0.7067,0.0,0.898,0.102
33,Amy F.,6/1/2018,4,0,0,Great macaroons! Also if you check in on yelp you get a free macaroon which are priced at $2. Could also be a nice spot to study or get work done during the day since they have a decent amount of seating.,4,0,4,1,[],,,,,,,116,https://www.yelp.com/user_details?userid=w_AE5VaXk1cmWRPtvljDkQ,"Near North Side, Chicago, IL",102,106,0.8883,0.0,0.774,0.226
34,Beverly V.,5/27/2018,1,0,0,"We came in 10 minutes before the bakery closed looking for a pastry to buy to eat the next morning. The guy behind the counter was rude and condescending when we asked him to help describe the remaining pastries left. He was rushing us and didn't seem to care about customer service. We bought 3 things and then left. The guy rushed to the door and locked it (closing 5 minutes early) as soon as we left. Terrible service, atmosphere, and overall experience!!",0,1,1,0,[],,,,,,,16,https://www.yelp.com/user_details?userid=09BMZPTANEOXAyhrGZEVqA,"Iowa City, IA",3,15,-0.7658,0.106,0.864,0.031
35,Amanda K.,5/13/2018,5,0,0,"Super welcoming and helpful staff! Stunning pastries. We most enjoyed the raspberry and chocolate hazelnut spread filled beignets, and, the star of the day, the croque monsieur. Spongy bread with crisp crust lavished with toasted gruyere, salty ham, and addictively nutmeg-rich bechamel. I could eat this sandwich every day.",0,0,0,0,[],,,,,,,27,https://www.yelp.com/user_details?userid=LWfKUrGruf363wyZ_HKB7g,"Austin, TX",0,39,0.944,0.0,0.728,0.272
36,Pha L.,4/25/2018,5,0,0,"Everything is yummy and the people are really nice. What more can you ask for? Fresh bread, flaky croissants, and more! I might move into this neighborhood just to eat here every day.",0,0,0,0,[],,,,,,,53,https://www.yelp.com/user_details?userid=BJMzvLWOUlstK_7eTG_o4Q,"San Francisco, CA",0,7,0.8436,0.0,0.761,0.239
37,J A.,4/6/2018,4,0,0,Love this coffee shop. I used to go to the Lincoln park location all the time. Their pastry items are made in house and out of this world. They make bread for many local resturants in the area.,0,0,0,0,[],,,,,,,0,https://www.yelp.com/user_details?userid=tU18KzUuobP2K9qgjJwtsw,"Chicago, IL",0,38,0.6369,0.0,0.896,0.104
38,Saira K.,4/6/2018,3,1,0,Very nice French bakery and cafe in Old Town. Great interior that feels very country French with wooden floors and tables. The veggie quiche was nice. I really liked the tuna salad sandwich. The multi-grain sourdough bread was very good. Nice croissant. Close to the el stops.,4,1,3,0,"['https://s3-media3.fl.yelpcdn.com/bphoto/HLt2po6nBp6t5LEHJMWdtw/348s.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/U8CEfOdbVVPSAk8Skk4dIw/168s.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/L9dQHPJ5jrmrUDCTaL1vFw/168s.jpg']",,,,,,,1130,https://www.yelp.com/user_details?userid=OV6JZ1M5ov65F8PWQzhG-Q,"Atlanta, GA",1146,1261,0.9587,0.027,0.647,0.326
39,Maria E.,3/31/2018,4,0,0,"The cafe is comfy and inviting, and the quality of the baked goods here is really top notch. I might have just eaten an entire package of chocolate spritz cookies in a single sitting.... Really delicious, to-die-for croissants. So flaky, buttery, and just sheer perfection. Already plotting when I can return to buy more.My only quibble is they seem to use quite a bit of plastic packaging. La Fournette has lovely packaging design (i.e., logo) and of course the clear plastic allows potential customers to easily see the product within. I get that. But I would really prefer that these items were, well, biodegradable for obvious reasons. On a more superficial note, all the plastic detracts from the classic French bakery vibe. So: La Fournette, I am one customer in love with your tasty breads and pastries, and I hope you strongly consider switching to biodegradable packaging in the near term!",0,0,0,0,[],,,,,,,0,https://www.yelp.com/user_details?userid=96V59tW-8klA28Z0us9eMQ,"Chicago, IL",0,4,0.9841,0.0,0.801,0.199
40,Alex A.,3/27/2018,5,0,0,"I live in Old Town and i'm glad to visit this place every day. Very friendly staff, great prices and AMAZING almond croissants. Also recommend to try baguette and coconut cookies.Guy from Ohio is very good, he provides the best customer service i've ever had.",1,0,1,0,[],,,,,,,0,https://www.yelp.com/user_details?userid=PLOQ9nqBM8LQlays2qFHwQ,"Near North Side, Chicago, IL",0,1,0.9783,0.0,0.594,0.406
41,Tuiana K.,3/27/2018,5,0,0,My favorite bakery in Chicago! Thank you for the best croissants in the world!Amazing and very friendly staff! Thank you for the great service!,0,0,0,0,[],,,,,,,0,https://www.yelp.com/user_details?userid=vEIwmrKvu7C5tsdMzkdpXQ,"Chicago, IL",2,3,0.9681,0.0,0.462,0.538
42,J H.,3/24/2018,1,0,0,"Coffee is good, pastries tasty but unfortunately their employees are rude and disrespectful to customers.  It was only I spent $30 in coffee that dude told me they're closing in 15 minutes and I needed to leave soon5 minutes after closing he came by and told us in rude tone 'we have been closed for 5 minutes you need to leave'.  Really? I'll leave to never come back!",0,0,0,0,[],,,,,,,0,https://www.yelp.com/user_details?userid=ptQRr2xzdzyF0rVVndshXg,"Nashville, TN",0,5,-0.901,0.187,0.787,0.026
43,Agnes Z.,3/13/2018,5,0,0,"This place makes me happy just walking through the door. Their breads and baguettes are amazing. They even won the ""best baguette in Chicago"" award. They also have really good coffee, sandwiches, quiches, crapes and many other baked goods. During holidays they make specialty cakes, like the chocolate log cake, which of I have to get two of since all of my family loves it. The stuff is always super nice, the place is cozy, and they have outdoor seating when it's warm. It's worth a visit.",0,1,1,46,[],,,,,,,3,https://www.yelp.com/user_details?userid=J3Flci0C2_h3uIq6toCT0w,"Chicago, IL",6,17,0.9908,0.0,0.635,0.365
44,Katelyn G.,3/9/2018,5,0,0,"How can you go wrong with carbs and coffee? Great service, cozy atmosphere, and delicious bakery items, sandwiches, quiches, and macaroons.",1,0,0,1,[],,,,,,,1,https://www.yelp.com/user_details?userid=lWUotUmf4bvoQN3Q4RpGGQ,"Wyoming, MI",0,3,0.6908,0.107,0.623,0.27
45,Sarah K.,3/4/2018,5,0,0,"Their crepes are amazing and the iced coffee is delicious. I'm not sure why but it's better here than other places that serve the same brand. Also staff is wonderful and nice. I wish they had a vegetarian sandwich, but I survive with the vegetarian crepe :)",0,0,0,0,[],,,,,,,43,https://www.yelp.com/user_details?userid=dnrLuauwjZ0F_CZF6-ldlg,"Near North Side, Chicago, IL",5,13,0.9762,0.024,0.577,0.399
46,Shuang Z.,2/28/2018,4,1,0,"Cute french bakery with friendly french staff. This is the kind of cafe that reminds you of sunshine:)Def try their croissants: they are buttery on the inside and flaky on the outside. If you like sweets, try the almond croissant: powder sugar with sliced almond on the outside and almond cream on the inside. Nom!Raisin roulade is a good alternative to croissant too: its made with croissant dough, but the pastry cream made it sweet. I'm not a huge fan of raisins though. Love their crepe too!! Even the plain butter and sugar one tastes super good! Will def come back to try their bread and sandwiches.",5,2,4,1,"['https://s3-media2.fl.yelpcdn.com/bphoto/vsQdnPuzK53LkxnD8SEJWw/348s.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/h0714lFexZpP6Z92S_7teA/168s.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/KE28T79iZBd6wzLjsJuV5A/168s.jpg']",,,,,,,307,https://www.yelp.com/user_details?userid=7fDaMcKI9Lfo7CbTRUP_vg,"Boston, MA",705,231,0.9781,0.038,0.729,0.233
47,Catherine M.,2/15/2018,5,0,0,Absolute must go to place for baguette in the French community. Never disappoints. Neighborhood discount available.,0,0,0,0,[],,,,,,,13,https://www.yelp.com/user_details?userid=-qWI_ZyoQTacDCNzRcrcPA,"Chicago, IL",0,34,-0.3818,0.148,0.852,0.0
48,Jeff C.,1/21/2018,5,1,0,A lot of people think The Publican has the best bread. It's great but I think La Fournette is a shade better.  Their pastries are excellent.  Order some espresso get a croissant and close your eyes. You could be in France,0,1,0,0,[],,,,,,,381,https://www.yelp.com/user_details?userid=SaoAqxpyhDCzf4Kn-p5VVg,"Chicago, IL",14,321,0.9331,0.0,0.701,0.299
49,Nolan M.,1/21/2018,5,0,1,"My favorite place in Old Town. Family-run, authentic French bakery with the most friendly staff and the best almond croissant I've ever had. Good place for a light lunch as well: quiche, croque madame, and tarte flambée are all on the menu",0,0,0,1,['https://s3-media2.fl.yelpcdn.com/bphoto/-eKX-19GvnufJlU4nED_3A/348s.jpg'],"My favorite place in Old Town. Family-run, authentic French bakery with the most friendly staff and the best almond croissant I've ever had. Good place for a light lunch as well: quiche, croque madame, and tarte flambée are all on the menu.",5.0,12/17/2017,0.0,0.0,0.0,0,https://www.yelp.com/user_details?userid=hXU8q3xtdcjBjFqJ-HaLEw,"San Francisco, CA",1,4,0.9402,0.0,0.696,0.304
50,Sonia A.,1/6/2018,5,0,0,"What can I say delicious!! the best baguette in the city, that I know of and I love baguettes.",0,0,0,0,[],,,,,,,0,https://www.yelp.com/user_details?userid=sEkOTxHvzenyMOOQXLaA2g,"Chicago, IL",5,16,0.9285,0.0,0.506,0.494
51,Sarah B.,12/29/2017,3,0,0,"We were really disappointed. We wanted to stop for a coffee and pastry pick-me-up. We yelped this place ahead of time and thought it was worth going slightly out of our way.The pastries in the display case looked beautiful. I got a beignet and my boyfriend got a brioche with streusel ($10.63 for the snacks and two small coffees, reasonable). They were not great. They tasted like yesterday's leftovers. I think that they probably could have been good if they'd been refreshed even in a toaster oven (or, ideally, baked the same day). Either that or they were just truly over done.After paying to park at a $4/hr meter we were not happy.We went across the street to get a croissant for comparison at Le Pain Quotidien and that was considerably better, which was disappointing because LPQ is a chain.The coffee (Intelligentsia) was very good, at least. La Fournette wasn't the worst but we were annoyed.",1,0,1,0,[],,,,,,,0,https://www.yelp.com/user_details?userid=S_gjqGAvs-DM7PIDRP71Ew,"Berkeley, CA",0,2,0.2617,0.083,0.809,0.108
52,Jenny F.,11/27/2017,4,1,0,"Get the bread! In fact, get two so you can snack on one and save one for later. Got the Olive Fougasse Bread and it was dynamite.Macarons all look fabulous. 1 free macaron for first Yelp check-in! Salted caramel was my choice and boy was it a good one. Just the right amount of sweet/savory flavor and consistency.Unfortunately the breakfast crepe missed the mark for me. It was overly loaded with diced up ham and bacon. Kudos for packing it all in, but it was overkill for me. Crepe was cooked nicely and paired with cheese and peppers. I picked it apart and ate it, but would go with a tartine next time.Beautiful looking pastries. I wanted one of everything!",7,3,10,1,[],,,,,,,87,https://www.yelp.com/user_details?userid=E2f5rnY2XaMiYdzbJoKlvA,"Huntington, NY",305,158,0.9131,0.013,0.865,0.122
