user_name,Date,Updated,Stars,Location,Text,check_ins,Cool,Useful,Funny,Photos,prev_date,prev_stars,prev_text,prev_Cool,prev_Useful,prev_Funny,status,user_link,user_friends,user_photos,user_reviews
Rachel K.,8/10/2018,0,5,"Chicago, IL","This is it. This is the coffee shop you've been looking for. The one with the cozy plush interior filled with the aroma of fresh baked bread, the dreamy outdoor patio surrounded with lovely greenery. It's the one that makes a damn fine cup of coffee but also the pastry case your dreams are made of. It has the friendly people behind the counter. It has the beautiful assortment of macarons and the mouthwatering Nutella crepes and the sourdough baguette you want to take home with you (trust me) before you leave today. It has full size quiches and tarts for you to bring to that thing you have to go to but don't have time to cook for.In a vast sea coffee shops with stark interiors, miserable chairs (actual *cubes* to sit on in some cases), and (almost invariably) that one sad little bakery case with the one muffin and maybe a cookie or croissant if you're lucky, La Boulangerie is the coffee shop/bakery everyone was too cool to admit they wanted in Logan Square.To my neighbors: I am begging you. Please keep this place in business for all the years to come. They're wonderful.",0,0,0,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=9b_ngFY6ojE7V8_eor7Ptw,109,12,53
Mr W.,7/30/2018,0,1,"Chicago, IL",Great bread off the charts horrible service. Went in to buy bread during lunch hour and there were 3 of us waiting. The 2 employees that were visible didn't even address any of us for over 15 minutes:  too many places to get good bread in chicago. I'll never go back.,0,0,1,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=P_aBud5JeSJE_3SeDZV0vg,0,0,8
Bob R.,7/26/2018,0,4,"Palatine, IL","Cute place. A little bit of Paris in Logan Square.They have a great selection of Macarons, Croissants, and French canned and jarred food items as well as some kitchenware. They also have a coffee and tea bar.They have a great seating area - plush couches, loveseats, and chairs. Tables to drop your food/drinks on. They seem to draw a diverse crowd - from students with laptops to hipsters. They also had some old folks like me.They offer counter service so don't expect to be waited on. And, admittedly, I really would expect table service for their prices which are on the high side. But, this was a nice experience which I will repeat next time I'm in the area.",1,0,0,0,"['https://s3-media1.fl.yelpcdn.com/bphoto/My4vDhXvUa8zIUaLBSc_YQ/168s.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/m1wOJsiCgNi-Hah5YHtUWQ/168s.jpg']",,,,,,,elite,https://www.yelp.com/user_details?userid=0ql-awhVLO50urRBZH74og,235,886,704
Greta S.,7/25/2018,0,5,"Chicago, IL",Cute spot in Logan! Clean and cozy. Nice lighting inside with a few tables near outlets and a great patio outside! I had the vegetable and goat cheese quiche and an iced coffee with whipped cream (don't judge me). Everything was great!,0,1,0,0,['https://s3-media2.fl.yelpcdn.com/bphoto/KqmhIAOMo4gpqbxnH9DUXw/348s.jpg'],,,,,,,not elite,https://www.yelp.com/user_details?userid=uLA_f3UeUYduU5xA96ZMbQ,15,43,38
Sandra s.,7/22/2018,0,5,"Chicago, IL",Love their chocolate croissants!! A nice place to meet friends for brunch and catch up.,0,0,0,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=FJxH3A_QaZHz1eCn-gY-oQ,0,1,14
Jeffrey F.,7/21/2018,0,2,"Los Angeles, CA","What a messy confusing operation they have going here. Cramped, and you get a number after you order but then everyone stands around waiting for their food to be handed to them. No delivery to table. So why the number?  Coffee, ok not great. Food ok.   Didn't try a croissant but looks good",0,0,1,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=oQEbfgRtxTWvCl5HkWam_Q,20,18,83
Dina F.,7/10/2018,1,5,"Chicago, IL",Always may favorite! I was so bummed when they left their first Logan square I went into detox! The croissants are the most delightful transport back to small town bakeries outside of Paris! I have been here quite a few times to savor all the offerings I can and they have never disappointed. If you are feigning for some amazing bread this is the place to get it. There assortment makes my taste buds water just thinking about it. Thank you for coming back!,12,1,2,1,[],7/5/2018,4.0,Always may favorite! I was so bummed when they left their first Logan square I went into detox! The croissants are the most delightful transport back to small town bakeries outside of Paris! I have been here quite a few times to savor all the offerings I can and they have never disappointed. If you are feigning for some amazing bread this is the place to get it. There assortment makes my taste buds water just thinking about it. Thank you for coming back!,0,1,1,not elite,https://www.yelp.com/user_details?userid=_4qel2jo1cSS3lUl29s4Bg,43,86,87
Kyle S.,7/5/2018,0,3,"Carroll, OH","I'm really happy to have this great little place in LS. Their baked goods look and smell fantastic, it's a nice environment, and I was quite excited to find they have several great looking lunch offerings - my sandwich was delicious! That said, I waited for a turkey club sandwich to-go for 40 minutes which they forgot and it took them over 30 to serve another woman her to-go order. So, while this might be a nice place to grab a coffee or pastry, it's hard to currently recommend it for a meal unless you call in your order in advance or have extra time as they clearly need to get over some logistical issues. This is a shame as the food was fantastic!",0,0,1,1,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=dEwTqxXsxXAlsKzMkEnspg,124,1,16
Matthew C.,6/29/2018,0,2,"Chicago, IL","The food is excellent as is the coffee. Service is pretty bad.  Half the staff are pleasant and friendly, the other half seem bothered to take an order. The most glaring deficiency with this place is how it's set up.  It's at least a ten minute ordeal to get a coffee and like thirty to get a sandwich, especially on the weekends.  There is a ton of wasted space on the inside and it's arranged terribly. The counter setup is cramped and nobody ever knows where to go or line up. On top of that, once you order you have to go awkwardly stand in the middle of the floor to wait for your order while they try to serve the next person.If you order food you will be waiting a long time.  They also ask you not to wait outside for coffee or food so they expect you to sit there and just hang out for half an hour.  I've been here a few times on the weekend recently and ordered food to go, just having coffee waiting in the meantime and they never bothered to call my name for the order. Say there for thirty minutes only to find they just threw it on the counter and let it sit. Cold soggy breakfast sandwiches and awful service on the weekends.  If you're going to go, do it during the week off-peak hours where it's not so bad.  It's a shame because the products are fantastic but it's so poorly organized and managed that it's impossibly frustrating to give them business.  The sad part is that during the summer they'll have tons of people in and out on the weekends with the farmers market, but I bet none will be regulars.  Two stars only because of the awesome sandwiches, pastry and coffee.",0,0,2,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=vIrRhRgMUF7hCIm0aSmqDg,0,1,11
Peggy T.,6/5/2018,0,4,"Seattle, WA","I looooove this place. Excellent food, great staff, totally reasonable prices. Incredible baguettes and coffee. Perfect croissants. But wow, the music is TERRIBLE. I'm not sure who thought bland mid-2000s pop/rock would fit a french cafe, but it's a bold choice. I'd suggest some quiet EDM or maybe jazz to accommodate people working at their computers. Maybe they don't want people to loiter after they're done eating. Actually, it makes perfect sense now.",0,0,1,1,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=KiN012VwXG5H5Tb07enRhQ,0,0,20
Catherine G.,6/3/2018,0,5,"Madison, WI","I can only review based on the farmers breakfast sandwich I had to go (oh and iced americano - good!) - but it was great. Super fresh croissant (as can be expected at a French bakery) with egg, bacon, and cheese and cinnamon flavored apple sauce. Interesting combination!",1,0,0,0,['https://s3-media3.fl.yelpcdn.com/bphoto/ZCk5d9weZ-IDdEdSq9X6_w/348s.jpg'],,,,,,,not elite,https://www.yelp.com/user_details?userid=4twAfDKToeuBKJuNZdLjiA,61,96,20
Holly D.,5/26/2018,0,3,"Chicago, IL","Have given this place a few tries now. Still just not feeling it. Always find it to be mediocre - the food and coffee are blah. Seems to me if you order a croissant from the case, they should offer to heat it up. Have had disappointingly cold, dry and flavorless croissants (feta and Spinach and the ham and cheese) with the cheese inside all hardened and gross. The breakfast croissant had a burnt and dried out egg in it that tasted like cardboard.  While friendly, it seems the staff don't totally take their jobs seriously - they're joking around and having fun (which I'm not opposed to!) but they seem less focused on the quality of food and service they're putting forth. Pluses: The interior is cute and the patio outside is lovely.",0,0,4,1,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=alOyfDgMAozZueAR5fLPOw,1,2,15
David C.,5/11/2018,0,4,"Chicago, IL","Super close to home. We stopped in after forgetting that Lula's is closed on Tuesdays. I had the croissant sandwich and it was delicious. It was messy, small, and overpriced though.She liked her sandwich as well. It has a nice looking outdoor yard too, but it wasn't open yet.",1,0,1,0,['https://s3-media4.fl.yelpcdn.com/bphoto/1Aveq7pNkRuMuniMd_2xDA/348s.jpg'],,,,,,,elite,https://www.yelp.com/user_details?userid=sjN4iL2EIk3EwtZAnPas6Q,39,178,117
Zak H.,4/26/2018,0,5,"Pilsen, Chicago, IL","Wow - great addition to the neighborhood! Cute, casual, and delicious! Excited to work my way through the sandwiches and pastries. Friendly people and well-priced.",0,0,0,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=gKV1U78NbGrIy4JHBx6THA,3,17,36
Jordan R.,4/22/2018,0,5,"Logan Square, Chicago, IL","I love coming to this cafe. The coffee is great, the pastries are delicious and the staff is very friendly. The ambiance in this place is inviting, though I wish there was more seating. Go and check it out; you won't be disappointed.",0,0,0,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=GgzjdGYz8qx2SMoRHDE_rQ,164,0,12
Charlie C.,4/22/2018,0,4,"Chicago, IL","*EDIT*Adding two stars because I've been in a couple times (to get carry-out) since writing the review below, and the store has dampened the sound of the bell on the door, making it less piercing. It's also possible they've gone a different direction with the music, but I haven't stayed long enough to tell for sure. Either way, definitely seems like it's improving, and I'm looking forward to trying out the outdoor seating once the weather's consistently nice!_________________________Been here five to ten times over the past few months, always on weekend mornings.The pastries are excellent.The drip coffee and espresso drinks are fine, but not as good as at New Wave or Intelligentsia.It's pretty unpleasant to sit inside for more than a minute, because:1. The bell on the front door, which rings every time someone enters or leaves, is unbelievably loud and piercing.2. The music is generally something like soft-rock hits of 2001 to 2010 (think a lot of James Blunt).3. There's a 100% chance of at least one young child running around and shrieking (not that the establishment can do much about this last one, and it probably doesn't bother some people, but it's worth knowing if you're planning to go there to read or have a quiet conversation).",0,0,0,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=Zyz4ILu7TuDPl4hcV96PQg,0,0,14
Jamie M.,4/19/2018,0,5,"Chicago, IL","So happy this place came about here! Right off the Logan blue line stop, plenty of sunlight, seating, macaroons & croissants, La Colombe coffee, and sweet service. In a neighborhood where most coffee shops are swamped, the coffee sucks, the bathrooms give you anxiety, everything is called vintage when really it's just garbage and dirty: this place is a freaking GEM. The coffee is great, there's plenty of space to sit, it's contemporary, the bathrooms are clean. You minus well get a whole box of macaroons because they're epic and you'll regret just getting one. The s'mores one, despite my reservations, was no disappointment.",1,0,2,1,"['https://s3-media1.fl.yelpcdn.com/bphoto/JHemTKmGR5UIjpO3-8GDOg/348s.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/FXy-WbGzumedRVH9QEPvwA/168s.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/nUuHSG3yTYWbXdA8QHJziA/168s.jpg']",,,,,,,elite,https://www.yelp.com/user_details?userid=LkTabalhjIxkx_8wRBhzRg,21,88,60
John B.,4/14/2018,0,5,"Wisconsin Dells, WI",Staff asked what I wanted and they made it perfect!  Awesome tasting fresh food from the friendliest staff!  A+,0,0,0,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=l23aZMJ0hXuFIYfl3t8PBQ,109,0,6
Brandon J.,3/25/2018,0,4,"Chicago, IL",WOW can't wait for summer their patio is going to be amazing!!! I've been here multiple times already and keep coming back for more!!! Sandwiches are tasty and are always fresh.! Could be a bit pricey but thats the price we pay for good fresh food! Macaroons are very yummy by far my favorite pastry at La Boulangrie! And lets not forget the coffee its by far the best in LOGAN SQAURE! just a tip there is always alot of people with laptops working so seating could be a challenge.,26,0,1,0,"['https://s3-media4.fl.yelpcdn.com/bphoto/29NeVFO7ihP_UK8vLjjF0Q/168s.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/AsAQ6kgOob3mYyn2ZFlM9A/168s.jpg']",,,,,,,elite,https://www.yelp.com/user_details?userid=Kg1xzfhq_GsuCqTrUQofyQ,111,140,51
Christina O.,3/25/2018,0,4,"Los Angeles, CA","They have gluten free savory crepes! Seems like they're still working out the kinks a bit operationally, but we'll be back for sure. Staff was friendly, service was quick (even during brunch hours on Sunday), and they made one of the best lattes I've had. Plus the place is adorable. It's a great alternative to Lula if the wait there is too long and you're super hungry.",0,0,0,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=MLN7zFi6dg7s6wLEWbSPpw,16,0,16
Shanti I.,2/25/2018,0,5,"Chicago, IL","Logan Square now has a charming, French Boulangerie to drink coffee and eat delicious food.  It's a small, cozy and modern looking Parisian boulangerie with a wide assortment of traditional French pastries, breads, coffee, and tea.  They also have some substantial lunch items like sandwiches and savory crepes.  I am a big fan of savory crepes and and while they weren't on the menu at this specific location they let us customize the crepe to our liking.  So we ordered the Atlantic sandwich in the style of a savory crepe.  It came with smoked salmon, horseradish aioli, red onions, greens, a hard boiled egg chopped up inside, and an over-easy egg on top.  The crepe was a wheat crepe so it was hard to cut up at times but it was worth the difficulty since wheat flour tends to be healthier than white flour.  All of the flavors went really well together in the crepe, you can't really go wrong with smoked salmon and the horseradish aioli gave it a nice little kick but didn't dominate the crepe.  The yolk from the over easy egg was soaked up by the crepe.  It also came with some mixed greens drizzled with a light, zesty dijon vinaigrette, which was delicious.  There was a bit of balsamic drizzled on the side of the crepe creating a beautiful plate. We also tried their sandwich of the day, which we had on a croissant.  The croissant was flaky and moist with caramelized onions and brie. Quite simple, but quite delicious.  We decided to take a sweet Almond croissant for the road and that was crispy, flaky, and moist as well with the sharp almond flavor.  I can't wait to come back here to have another delicious lunch or snack.",0,0,0,0,[],,,,,,,elite,https://www.yelp.com/user_details?userid=shDDyAJPkvKl-44S3VcEew,197,302,158
Mareva L.,2/13/2018,0,5,"The Loop, Chicago, IL","I'm so glad to have this place back in the square! Excellent, classic French baked goods.",0,0,0,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=DdOGS7nme_V90dSucaCeVA,0,0,11
T W.,2/12/2018,0,5,"Chicago, IL","Great spot for coffee and sandwiches. Their desert collection is awesome too ,i belive all the bakeries are made in house . They also have outdoor area which would be amazing for summer. Good price, good service .",0,0,0,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=p66oHTxbJqWJjxNXWma_XQ,77,19,27
Siena L.,2/9/2018,0,5,"Chicago, IL",Delicious croissants!  I was so excited when this opened as I love not having to wait until the the Sunday farmer's market to get amazing bread and croissants.  YUM!,0,0,0,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=DWLHBbT_1RrMqYM8xxT7IA,0,0,5
Brittany J.,12/19/2017,0,2,"Chicago, IL","I was really excited for a new coffee shop and bakery to open up in Logan, but I was pretty disappointed. Maybe the service was off because they just opened, but I can't imagine myself heading back there anytime soon. I ordered two coffees and two breakfast sandwiches to-go and it took 40 minutes to get them. They brought up one sandwich at a time, so I left with one cold sandwich and one warm one. The sandwich in itself was decent but not one worth waiting 40 minutes for. The coffee was good, but also cold by the time I left. I think others there were a bit annoyed too by this, the people waiting behind me asked for a refund leaving before their sandwiches were ready. Maybe I will give it another chance after it is a bit more established and has its service kinks worked out.",0,0,3,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=k3UvP8MDhjtoR3Z-skSEdA,208,0,7
Eric B.,12/15/2017,0,5,"Chicago, IL","Huzzah!  Its great to have La Boulangerie back in Logan!The offerings are as delicious as you remember them.  The Parisian ham and cheese sandwich is creamy and savory, and the macarons are fresh and likely to induce eye rolls of pleasure.Their new digs are larger and gorgeous - an open, airy space, with a large communal table in front, a few individual tables, and a cozy nook with a small couch and comfy leather chair.Welcome back!",1,5,3,3,[],,,,,,,elite,https://www.yelp.com/user_details?userid=HzmjK-yLenbDkF2D0lk3Eg,213,4,328
