,Branch,Branch_Num,Date,Text,Filtered,Stars,Useful,id,sent_comp,sent_neg,sent_neu,sent_pos,status,user_friends,user_reviews
10,Damen,1,8/11/2018,"They have such a large variety of items, and I want to try all of them! From savory sandwiches, breakfast sandwiches, and crepes, to sweet cakes, macaroons, and breads they have it all! Prices are reasonable and everything is so fresh! Will be coming back!","['large', 'variety', 'items', 'want', 'try', 'savory', 'sandwiches', 'breakfast', 'sandwiches', 'crepes', 'sweet', 'cakes', 'macaroons', 'breads', 'prices', 'reasonable', 'everything', 'fresh', 'coming', 'back']",5,1,Samantha P.,0.8156,0.0,0.825,0.175,not elite,6,46
11,Damen,1,8/3/2018,"A great little cafe off Damen, with a welcoming outdoor patio and plenty of indoor communal seating. When you walk in, you're immediately greeted by cases and cases of pastries and treats. The staff is clearly a hard working team of bakers, and you can tell by the full cases! I was served by a French woman, and coincidentally the French school is right next door. I will be coming back soon to try the coffee. Today I just got some pastries and treats, all of which were lovely! My favorite was definitely the almond croissant, and my boyfriend loved the ham and cheese one.","['great', 'little', 'cafe', 'damen', 'welcoming', 'outdoor', 'patio', 'plenty', 'indoor', 'communal', 'seating', 'walk', 'immediately', 'greeted', 'cases', 'cases', 'pastries', 'treats', 'staff', 'clearly', 'hard', 'working', 'team', 'bakers', 'tell', 'full', 'cases', 'served', 'french', 'woman', 'coincidentally', 'french', 'school', 'right', 'next', 'door', 'coming', 'back', 'soon', 'try', 'coffee', 'today', 'got', 'pastries', 'treats', 'lovely', 'favorite', 'definitely', 'almond', 'croissant', 'boyfriend', 'loved', 'ham', 'cheese', 'one']",5,2,Megan C.,0.9761,0.012,0.766,0.222,elite,207,246
12,Damen,1,8/2/2018,"It was my first time here, and actually my first time trying a French Macaroon. They were very good but I could only eat half of one in a sitting as it was a bit too sweet for me. BUT DELICIOUS. I had the S'more s one, my daughter had the Chocolate, and I will be taking my husband a Raspberry one home. He has a sweet tooth so I'm sure he will appreciate these. I live they have outdoor seating as well. Service was fast and friendly. Will most likely stop by the next time I am in town. Can't wait to try all the other flavors!","['first', 'time', 'actually', 'first', 'time', 'trying', 'french', 'macaroon', 'good', 'eat', 'half', 'one', 'sitting', 'bit', 'sweet', 'delicious', ""s'more"", 'one', 'daughter', 'chocolate', 'taking', 'husband', 'raspberry', 'one', 'home', 'sweet', 'tooth', 'sure', 'appreciate', 'live', 'outdoor', 'seating', 'well', 'service', 'fast', 'friendly', 'likely', 'stop', 'next', 'time', 'town', 'wait', 'try', 'flavors']",5,0,Jessica A.,0.9821,0.026,0.724,0.25,not elite,0,2
13,Damen,1,8/1/2018,"This place was a nice addition to the building where I have an appointment a few times a year. Would come in and bang out some work and have some decent (not exceptional) coffee. BUT, I'm sitting here thinking this is my last time. Croissants (dairy, egg, flour-per their sign) are $3.50 each. They forgot to add air, which is about 50% of a croissant. So, after tax and 20% tip) I just spent almost $10 for two! Outta here!","['place', 'nice', 'addition', 'building', 'appointment', 'times', 'year', 'come', 'bang', 'work', 'decent', 'exceptional', 'coffee', 'sitting', 'thinking', 'last', 'time', 'croissants', 'dairy', 'egg', 'flour', 'per', 'sign', '$3', '50', 'forgot', 'add', 'air', '50%', 'croissant', 'tax', '20%', 'tip', 'spent', 'almost', '$10', 'two', 'outta']",4,0,Tana M.,0.3578,0.0,0.967,0.033,not elite,57,1
14,Damen,1,7/18/2018,"The pastries, coffee, sandwiches and service are great. Our daughter's preschool is in the building, so I've been dozens of times and have never been disappointed. Another gem in Ravenswood!","['pastries', 'coffee', 'sandwiches', 'service', 'great', ""daughter's"", 'preschool', 'building', 'dozens', 'times', 'never', 'disappointed', 'another', 'gem', 'ravenswood']",5,0,Jeff K.,0.7873,0.0,0.801,0.199,not elite,10,56
15,Damen,1,7/7/2018,"I stopped here quite randomly as I was walking past, just a few minutes before closing and I'm so glad I was able to sneak in! They had these tiny pearl sugar crusted putechoux type pasties that simply melt in your mouth and their macarons are delicious and adorable. Some of the best flavor options around too. I took the s'mores and the minion ones for myself for later and grabbed a few gorgeous looking canelles to share with my sister. The little pastry mentioned earlier never made it off the premises. Yum! I'll definitely have to come back in the morning sometime and try their breads to take on a picnic and pretend I'm in Paris.","['stopped', 'quite', 'randomly', 'walking', 'past', 'minutes', 'closing', 'glad', 'able', 'sneak', 'tiny', 'pearl', 'sugar', 'crusted', 'putechoux', 'type', 'pasties', 'simply', 'melt', 'mouth', 'macaroons', 'delicious', 'adorable', 'best', 'flavor', 'options', 'around', 'took', ""s'mores"", 'minion', 'ones', 'later', 'grabbed', 'gorgeous', 'looking', 'canelles', 'share', 'sister', 'little', 'pastry', 'mentioned', 'earlier', 'never', 'made', 'premises', 'yum', 'definitely', 'come', 'back', 'morning', 'sometime', 'try', 'breads', 'take', 'picnic', 'pretend', 'paris']",5,1,Anna G.,0.9724,0.026,0.784,0.19,elite,13,65
16,Damen,1,6/28/2018,"I was walking down the street and I saw what I thought was a French restaurant. My wife and I love French food, pastries, bread, and of course wine. I walked to the front and saw a woman and asked if it was a restaurant and continued to ask her questions until she said she didn't work there. Embarrassing.... However, she did have her favorites. I walked in and reviewed the menu on the wall. Right away a gentlemen came up to me from the back in street clothes and asked if I had any questions. I had a lot of questions. Robert had every answer from time of day everything was prepperd. To the cost of each item I inquired to the penny. He gave me a sample of their version of a donut hole and it was amazing. I grabbed my wife the butter and sugar crepes, chocolate croissant and a hot chocolate. After leaving I was left with such a good impression. I walked back in and asked his name and told him I was so appreciative and impressed by his customer service. My wife and I are both managers at separate restaurants within the city. Most importantly my wife and her friend loved the baked items. We will be back. Thank you Robert for your above and beyond commitment to excellence. I know you were done your work day and I appreciate the extra effort. See you soon.","['walking', 'street', 'saw', 'thought', 'french', 'restaurant', 'wife', 'love', 'french', 'food', 'pastries', 'bread', 'course', 'wine', 'walked', 'front', 'saw', 'woman', 'asked', 'restaurant', 'continued', 'ask', 'questions', 'said', 'work', 'embarrassing', 'however', 'favorites', 'walked', 'reviewed', 'menu', 'wall', 'right', 'away', 'gentlemen', 'came', 'back', 'street', 'clothes', 'asked', 'questions', 'lot', 'questions', 'robert', 'every', 'answer', 'time', 'day', 'everything', 'prepperd', 'cost', 'item', 'inquired', 'penny', 'gave', 'sample', 'version', 'donut', 'hole', 'amazing', 'grabbed', 'wife', 'butter', 'sugar', 'crepes', 'chocolate', 'croissant', 'hot', 'chocolate', 'leaving', 'left', 'good', 'impression', 'walked', 'back', 'asked', 'name', 'told', 'appreciative', 'impressed', 'customer', 'service', 'wife', 'managers', 'separate', 'restaurants', 'within', 'city', 'importantly', 'wife', 'friend', 'loved', 'baked', 'items', 'back', 'thank', 'robert', 'beyond', 'commitment', 'excellence', 'know', 'done', 'work', 'day', 'appreciate', 'extra', 'effort', 'see', 'soon']",5,0,Michael M.,0.9924,0.0,0.818,0.182,not elite,0,4
17,Damen,1,6/20/2018,"I strongly recommend this marvelous place! Food there is just delicious and especially the macaron. The waiters are very professional and friendly, the service is always great and there is an outdoor space during summer that is very enjoyable.","['strongly', 'recommend', 'marvelous', 'place', 'food', 'delicious', 'especially', 'macaroon', 'waiters', 'professional', 'friendly', 'service', 'always', 'great', 'outdoor', 'space', 'summer', 'enjoyable']",5,1,Delphine D.,0.9727,0.0,0.571,0.429,not elite,6,4
18,Damen,1,6/8/2018,"Just moved into the neighborhood and this is the first brunch spot we tried. On a whim on our way out of town this morning we stopped in, in hopes of a breakfast sandwich and my first impression was how charming and social this place is. There were many conversations and work meetings going on, giving this place a warm and casual feel. I ordered the Normandie (croissant, egg, onions, tomato, Brie) and my guy got the Nordic (croissant, egg, avocado, greens, salmon). We grabbed a table and had only a short wait until they brought our plates out. My sandwich was fabulous, definitely would order again, but my guy didn't like his and thought the flavors were a bit off together. I also think it was rather overpriced, he was still hungry after his sandwich and wanted a plain croissant but it was $4, $25 on two small breakfast sandwiches and a croissant is a bit much in my opinion so we passed. Can't give more stars because this place was dirty. Several tables needed to be wiped down, the coffee bar was littered, there were only a few cups left to serve yourself water and each one I flipped was visibly dirty but only semi busy. They also had a basket out on the counter of croquettes with a sign that said ""freshly baked croquettes!"" which to me and several others read as ""sample me"" but that was not the case and the staff seemed surprised and corrected us. Sorry but a basket of small hand food with a sign that boasts about them being fresh definitely makes it look like a sample! And for the price I wouldn't buy the pastries without trying them first so it seemed smart to have samples. When all is said and done, this place is charming and I liked my sandwich but I wish it had been cleaner or more reasonably priced. I'm sure living in the neighborhood I'll be back to try more, hopefully next time the weather will cooperate and I can sit outside in their adorable little patio.","['moved', 'neighborhood', 'first', 'brunch', 'spot', 'tried', 'whim', 'way', 'town', 'morning', 'stopped', 'hopes', 'breakfast', 'sandwich', 'first', 'impression', 'charming', 'social', 'place', 'many', 'conversations', 'work', 'meetings', 'going', 'giving', 'place', 'warm', 'casual', 'feel', 'ordered', 'normandie', 'croissant', 'egg', 'onions', 'tomato', 'brie', 'guy', 'got', 'nordic', 'croissant', 'egg', 'avocado', 'greens', 'salmon', 'grabbed', 'table', 'short', 'wait', 'brought', 'plates', 'sandwich', 'fabulous', 'definitely', 'order', 'guy', 'like', 'thought', 'flavors', 'bit', 'together', 'also', 'think', 'rather', 'overpriced', 'still', 'hungry', 'sandwich', 'wanted', 'plain', 'croissant', '$4', '$25', 'two', 'small', 'breakfast', 'sandwiches', 'croissant', 'bit', 'much', 'opinion', 'passed', 'give', 'stars', 'place', 'dirty', 'several', 'tables', 'needed', 'wiped', 'coffee', 'bar', 'littered', 'cups', 'left', 'serve', 'water', 'one', 'flipped', 'visibly', 'dirty', 'semi', 'busy', 'also', 'basket', 'counter', 'croquettes', 'sign', 'said', 'freshly', 'baked', 'croquettes', 'several', 'others', 'read', 'sample', 'case', 'staff', 'seemed', 'surprised', 'corrected', 'us', 'sorry', 'basket', 'small', 'hand', 'food', 'sign', 'boasts', 'fresh', 'definitely', 'makes', 'look', 'like', 'sample', 'price', 'buy', 'pastries', 'without', 'trying', 'first', 'seemed', 'smart', 'samples', 'said', 'done', 'place', 'charming', 'liked', 'sandwich', 'wish', 'cleaner', 'reasonably', 'priced', 'sure', 'living', 'neighborhood', 'back', 'try', 'hopefully', 'next', 'time', 'weather', 'cooperate', 'sit', 'outside', 'adorable', 'little', 'patio']",3,0,Jillian N.,0.9893,0.043,0.807,0.15,not elite,212,39
19,Damen,1,6/1/2018,"My girlfriend is from Chicago and has raved about this as a breakfast hot spot. In my mind I was expecting a pretentious, white-glove, sparse portion experience. On my most recent trip back to the Ravenswood neighborhood to visit family, I discovered just how far removed my perception was from reality.La Boulangerie is a simple, relaxed, casual spot that served up a very tasty meal. I had a bacon and egg croissant and my girlfriend had the Nordic, a croissant served with salmon. Her mom had a plain croissant and coffee. I and my girlfriend enjoyed lattes.Our breakfast sandwiches were heartier than I expected, the croissants were fresh and fairly good sized. The greens were crisp, and the lattes were rich and flavorful.We ordered pastries to take back to Ohio. The macaron variety was plentiful and a bit on the pricey side, but they were fresh and flavorful. My girlfriend highly recommended the almond croissant, though I opted for chocolate and some raspberry pastries to give as a gift.I enjoyed the casual atmosphere here. It was bright and cheery, even when it was rainy and overcast outside. We ate at community tables with bench seating, but it was easy to enjoy conversation without having to strain to hear. The people were friendly, too--patrons and employees alike. This was an enjoyable, filling breakfast meal. I will be happy to come back on the next trip!","['girlfriend', 'chicago', 'raved', 'breakfast', 'hot', 'spot', 'mind', 'expecting', 'pretentious', 'white-glove', 'sparse', 'portion', 'experience', 'recent', 'trip', 'back', 'ravenswood', 'neighborhood', 'visit', 'family', 'discovered', 'far', 'removed', 'perception', 'reality', 'la', 'boulangerie', 'simple', 'relaxed', 'casual', 'spot', 'served', 'tasty', 'meal', 'bacon', 'egg', 'croissant', 'girlfriend', 'nordic', 'croissant', 'served', 'salmon', 'mom', 'plain', 'croissant', 'coffee', 'girlfriend', 'enjoyed', 'lattes', 'breakfast', 'sandwiches', 'heartier', 'expected', 'croissants', 'fresh', 'fairly', 'good', 'sized', 'greens', 'crisp', 'lattes', 'rich', 'flavorful', 'ordered', 'pastries', 'take', 'back', 'ohio', 'macaroon', 'variety', 'plentiful', 'bit', 'pricey', 'side', 'fresh', 'flavorful', 'girlfriend', 'highly', 'recommended', 'almond', 'croissant', 'though', 'opted', 'chocolate', 'raspberry', 'pastries', 'give', 'gift', 'enjoyed', 'casual', 'atmosphere', 'bright', 'cheery', 'even', 'rainy', 'overcast', 'outside', 'ate', 'community', 'tables', 'bench', 'seating', 'easy', 'enjoy', 'conversation', 'without', 'strain', 'hear', 'people', 'friendly', 'patrons', 'employees', 'alike', 'enjoyable', 'filling', 'breakfast', 'meal', 'happy', 'come', 'back', 'next', 'trip']",4,0,Kim F.,0.9942,0.006,0.782,0.213,elite,167,48
20,Damen,1,6/1/2018,"Excellent sandwiches! Brought me right back to Parisian sandwich shops. Very cute interior and the staff was kind and helpful. Desserts look great too, but grabbed some to go and haven't tried yet.","['excellent', 'sandwiches', 'brought', 'right', 'back', 'parisian', 'sandwich', 'shops', 'cute', 'interior', 'staff', 'kind', 'helpful', 'desserts', 'look', 'great', 'grabbed', 'go', 'tried', 'yet']",5,1,Adam L.,0.8569,0.0,0.71,0.29,not elite,2,9
21,Damen,1,5/13/2018,"Oooooh I want to love Boulangerie so much. They are SO good at what they're good at... but they struggle so much in other areas that - if they got right - would make them crush it.Their croissants and other baked goods are so so so lovely and scrumptious.....But the second you switch to ordering prepared foods, things have a tendency to fall apart. Obviously these are first world problems but here are recent examples:  Ordered a lemon crepe from the menu.... when it came it was plain and the manager said ""oh sorry we are out of lemon."" Did they know that when we ordered? Or did it happen after? Why not communicate that to us and give us an option to reorder? Ordered a crepe dish and asked them for Brie instead of mozzarella inside... ""no problem"" - but it came with mozzarella (and barely warm inside and egg on top was not adequately cooked). Our four dishes came at very different times... my kids were done w their breakfast by the time mine came. Bottom line- it feels like they are one person short and that communication internally could be improved, s'il vous plait!!!","['oooooh', 'want', 'love', 'boulangerie', 'much', 'good', 'good', 'struggle', 'much', 'areas', 'got', 'right', 'make', 'crush', 'croissants', 'baked', 'goods', 'lovely', 'scrumptious', 'second', 'switch', 'ordering', 'prepared', 'foods', 'things', 'tendency', 'fall', 'apart', 'obviously', 'first', 'world', 'problems', 'recent', 'examples:', 'ordered', 'lemon', 'crepe', 'menu', 'came', 'plain', 'manager', 'said', 'oh', 'sorry', 'lemon', 'know', 'ordered', 'happen', 'communicate', 'us', 'give', 'us', 'option', 'reorder', 'ordered', 'crepe', 'dish', 'asked', 'brie', 'instead', 'mozzarella', 'inside', 'problembut', 'came', 'mozzarella', 'barely', 'warm', 'inside', 'egg', 'top', 'adequately', 'cooked', 'four', 'dishes', 'came', 'different', 'times', 'kids', 'done', 'w', 'breakfast', 'time', 'mine', 'came', 'bottom', 'line', 'feels', 'like', 'one', 'person', 'short', 'communication', 'internally', 'improved', ""s'il"", 'vous', 'plait']",3,3,Grace Y.,0.9483,0.073,0.783,0.144,not elite,0,16
22,Damen,1,5/10/2018,Ordered some chocolate Éclairs and they were a hit!  Everyone loved them!  Friendly and professional staff!  I also tried their coffee (perfection!),"['ordered', 'chocolate', 'éclairs', 'hit', 'everyone', 'loved', 'friendly', 'professional', 'staff', 'also', 'tried', 'coffee', 'perfection']",5,0,Vee G.,0.8507,0.0,0.685,0.315,not elite,1,25
23,Damen,1,4/28/2018,"Let me begin by saying the pastries are incredible! I have not had a better croissant in Chicagoland.Yet, the sandwiches, in my opinion, always leave something to be desired. I have ordered the veggie special sandwich and the Normandie. The veggie special was in dire need of salt- there was so little brie! They forgot the brie entirely on the Normandie sandwich I ordered, and had put less than a teaspoon of caramelized onions on the entire sandwich. The nice lady behind the kitchen counter gave me extra brie when I returned it. It's not that the sandwiches are inedible, not at all, just lacking in something! Perhaps because I am ordering the vegetarian sandwiches? I feel like the addition of one or two more ingredients or sauces, etc would make them stellar.But go! for! the! pastries!","['let', 'begin', 'saying', 'pastries', 'incredible', 'better', 'croissant', 'chicagoland', 'yet', 'sandwiches', 'opinion', 'always', 'leave', 'something', 'desired', 'ordered', 'veggie', 'special', 'sandwich', 'normandie', 'veggie', 'special', 'dire', 'need', 'salt', 'little', 'brie', 'forgot', 'brie', 'entirely', 'normandie', 'sandwich', 'ordered', 'put', 'less', 'teaspoon', 'caramelized', 'onions', 'entire', 'sandwich', 'nice', 'lady', 'behind', 'kitchen', 'counter', 'gave', 'extra', 'brie', 'returned', 'sandwiches', 'inedible', 'lacking', 'something', 'perhaps', 'ordering', 'vegetarian', 'sandwiches', 'feel', 'like', 'addition', 'one', 'two', 'ingredients', 'sauces', 'etc', 'make', 'stellar', 'go', 'pastries']",4,0,Kelsey V.,0.8065,0.054,0.847,0.099,not elite,119,3
24,Damen,1,4/7/2018,Cute bakery in Ravenswood! Stephanie was as nice as can be. They have samples of bread served with balsamic vinegar. Delicious! Croissant was huge And so good heated! Crepe was so good. Service is excellent! Attached to a school!,"['cute', 'bakery', 'ravenswood', 'stephanie', 'nice', 'samples', 'bread', 'served', 'balsamic', 'vinegar', 'delicious', 'croissant', 'huge', 'good', 'heated', 'crepe', 'good', 'service', 'excellent', 'attached', 'school']",4,11,Saira K.,0.9721,0.0,0.574,0.426,elite,1128,1261
25,Damen,1,4/1/2018,"I dont see that UNfriendly guy anymore in the morning! Yey!! Hoping he didnt just go on vacation but he is gone  for good. Fortunately, he was replaced by a much warm, friendly, cuter guy in the morning and that made my croissant taste better.","['dont', 'see', 'unfriendly', 'guy', 'anymore', 'morning', 'yey', 'hoping', 'didnt', 'go', 'vacation', 'gone', 'good', 'fortunately', 'replaced', 'much', 'warm', 'friendly', 'cuter', 'guy', 'morning', 'made', 'croissant', 'taste', 'better']",4,0,Allyson M.,0.9692,0.0,0.618,0.382,not elite,0,12
26,Damen,1,2/24/2018,"Food is great.  This is one of those silly reviews about service. Food is great. If you can get it. Extremely inefficient layout with one r""register"". Long lines and demanding self involved customers makes what could be a 2 minute interaction take significantly longer. If I see more than 2 people in line I pass.  That said I was second in line and the woman in front of me changed her mind about items and began ordering new items at the register. I had a freaking croissant in my hand waiting to check out. Selfishly it would have been significantly more efficient and customer friendly to let me pay for my 1 item. Foods good yet my time is worth more and the annoying customers suck.","['food', 'great', 'one', 'silly', 'reviews', 'service', 'food', 'great', 'get', 'extremely', 'inefficient', 'layout', 'one', 'rregister', 'long', 'lines', 'demanding', 'self', 'involved', 'customers', 'makes', '2', 'minute', 'interaction', 'take', 'significantly', 'longer', 'see', '2', 'people', 'line', 'pass', 'said', 'second', 'line', 'woman', 'front', 'changed', 'mind', 'items', 'began', 'ordering', 'new', 'items', 'register', 'freaking', 'croissant', 'hand', 'waiting', 'check', 'selfishly', 'significantly', 'efficient', 'customer', 'friendly', 'let', 'pay', '1', 'item', 'foods', 'good', 'yet', 'time', 'worth', 'annoying', 'customers', 'suck']",3,1,Layne S.,0.8815,0.102,0.731,0.167,not elite,3,77
